,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
59,Muzaffarpurbandrarampurdayalwbb,764,22920.0,240.0,4.0,240.0,191
60,Muzaffarpurbandrarampurdayalwbc,656,19680.0,30.0,1.0,30.0,164
61,Muzaffarpurbandrarampurdayalwbd,796,23880.0,1680.0,28.0,1680.0,199
62,Muzaffarpurbandrasundarpurratwarawad,2,60.0,0.0,0.0,0.0,89
63,Muzaffarpurbandratepariwaj,69,2070.0,240.0,8.0,240.0,69
64,Muzaffarpurbandratepariwba,98,2850.0,150.0,5.0,240.0,98
65,Muzaffarpurbandratepariwbb,103,3090.0,30.0,1.0,30.0,108
66,Muzaffarpurbandratepariwbc,74,2220.0,30.0,1.0,30.0,75
67,Muzaffarpurmoraulbishanpurbakhriwad,87,2610.0,30.0,1.0,30.0,87
68,Muzaffarpurmoraulbishanpurbakhriwah,97,2910.0,30.0,1.0,30.0,97
69,Muzaffarpurmoraulbishanpurbakhriwai,80,2400.0,1020.0,34.0,1020.0,80
70,Muzaffarpurmoraulbishanpurbakhriwaj,248,7440.0,5820.0,98.0,5820.0,124
71,Muzaffarpurmoraulbishanpurbakhriwbb,136,4080.0,0.0,0.0,0.0,136
72,Muzaffarpurmoraulbishanpurbakhriwbe,194,5820.0,60.0,2.0,60.0,97
73,Muzaffarpurmoraulbishanpurbakhriwbf,96,2760.0,270.0,9.0,390.0,96
74,Muzaffarpurmoraulharsingpurlautanwab,3,90.0,90.0,4.0,240.0,48
75,Muzaffarpurmoraulharsingpurlautanwac,84,2520.0,30.0,1.0,30.0,84
76,Muzaffarpurmoraulharsingpurlautanwad,296,8640.0,3390.0,104.0,3630.0,148
77,Muzaffarpurmoraulharsingpurlautanwae,83,2490.0,90.0,3.0,90.0,83
78,Muzaffarpurmoraulharsingpurlautanwag,122,3660.0,330.0,11.0,330.0,122
79,Muzaffarpurmoraulharsingpurlautanwbb,206,6180.0,770.0,26.0,770.0,103
80,Muzaffarpurmoraulharsingpurlautanwbd,33,990.0,960.0,32.0,960.0,33
81,Muzaffarpurmoraulmeerapurwac,91,1380.0,300.0,10.0,1650.0,93
82,Muzaffarpurmoraulmeerapurwaf,102,2880.0,120.0,4.0,300.0,102
83,Muzaffarpurmoraulmeerapurwah,153,4500.0,30.0,1.0,120.0,153
84,Muzaffarpurmoraulmeerapurwaj,128,3810.0,120.0,3.0,150.0,64
85,Muzaffarpurmoraulmeerapurwbe,1,30.0,0.0,0.0,0.0,139
86,Muzaffarpurmoraulpilkhigajpattiwab,294,8730.0,120.0,2.0,210.0,98
87,Muzaffarpurmoraulpilkhigajpattiwad,122,3660.0,0.0,0.0,0.0,122
88,Muzaffarpurmoraulpilkhigajpattiwaf,93,2550.0,30.0,1.0,270.0,93
89,Muzaffarpurmoraulpilkhigajpattiwah,87,2250.0,210.0,7.0,570.0,87
90,Muzaffarpurmoraulpilkhigajpattiwai,114,2460.0,1260.0,42.0,2220.0,114
91,Muzaffarpurmoraulpilkhigajpattiwaj,181,5400.0,30.0,1.0,60.0,181
92,Muzaffarpurmoraulpilkhigajpattiwba,89,2460.0,90.0,3.0,300.0,89
93,Muzaffarpurmoraulpilkhigajpattiwbb,67,280.0,690.0,23.0,2420.0,67
94,Muzaffarpurmoraulpilkhigajpattiwbc,324,9360.0,390.0,8.0,750.0,108
95,Muzaffarpurmoraulpilkhigajpattiwbd,77,2070.0,150.0,5.0,390.0,77
96,Muzaffarpurmoraulpilkhigajpattiwbe,81,2220.0,150.0,5.0,360.0,81
97,Muzaffarpurmoraulsadiqpurmuraulwac,54,1620.0,120.0,4.0,120.0,54
98,Muzaffarpurmoraulsadiqpurmuraulwad,110,3300.0,90.0,3.0,90.0,55
